"day","machine","Plate","Well.ID","mean_OD","min_OD","init_OD"
1,2,1,108,0.241730337078652,0.215,0.24425
1,2,1,115,0.243932584269663,0.226,0.244
1,2,1,193,0.712011235955056,0.254,0.255
1,2,1,196,0.663516853932584,0.259,0.25925
1,2,2,204,0.242483146067416,0.217,0.2455
1,2,2,223,0.243460674157303,0.21,0.246
1,2,2,238,0.242483146067416,0.205,0.244625
1,2,2,288,0.242651685393258,0.218,0.243375
1,2,2,289,0.241685393258427,0.214,0.243125
2,2,1,138,0.300260416666667,0.262,0.30925
2,2,2,211,0.303416666666667,0.267,0.2985
2,2,2,218,0.300322916666667,0.274,0.299125
2,2,2,239,0.295177083333333,0.249,0.302875
3,2,1,103,0.243022727272727,0.216,0.25175
3,2,2,221,0.246602272727273,0.215,0.255875
3,2,2,262,0.247568181818182,0.217,0.25425
4,2,1,184,0.238393617021277,0.207,0.2335
4,2,2,289,0.238723404255319,0.204,0.23975
5,2,1,161,0.2410625,0.227,0.24025
5,2,2,206,0.232520833333333,0.223,0.234125
5,2,2,233,0.2380625,0.228,0.238625
5,2,2,266,0.236979166666667,0.227,0.23675
5,2,2,277,0.235479166666667,0.224,0.236875
5,2,2,299,0.231979166666667,0.222,0.234125
6,2,1,135,0.286802083333333,0.267,0.290375
6,2,1,188,0.285677083333333,0.269,0.287875
6,2,1,197,0.284364583333333,0.27,0.286875
7,2,1,109,0.285083333333333,0.281,0.289
7,2,1,160,0.285114583333333,0.282,0.28825
7,2,1,174,0.289,0.288,0.289375
7,2,2,265,0.289729166666667,0.288,0.291125
7,2,2,282,0.29346875,0.293,0.293875
8,2,1,108,0.284755555555556,0.282,0.288625
8,2,1,129,0.285722222222222,0.284,0.287625
8,2,1,189,0.293577777777778,0.292,0.295
8,2,2,238,0.284533333333333,0.283,0.2875
8,2,2,246,0.285033333333333,0.284,0.287875
9,2,1,127,0.297947916666667,0.258,0.3015
9,2,1,135,0.302302083333333,0.274,0.30325
9,2,1,169,0.298135416666667,0.275,0.29925
9,2,1,175,0.303572916666667,0.265,0.304125
9,2,1,184,0.303895833333333,0.262,0.305
9,2,1,187,0.301145833333333,0.264,0.3015
10,2,1,114,0.293505376344086,0.257,0.3
10,2,1,128,0.292860215053763,0.249,0.29775
10,2,1,152,0.294774193548387,0.258,0.299
10,2,2,245,0.293043010752688,0.269,0.29375
10,2,2,270,0.29105376344086,0.256,0.292125
10,2,2,286,0.293784946236559,0.257,0.29575
11,2,1,110,0.229770833333333,0.21,0.2275
11,2,1,124,0.23221875,0.198,0.23025
11,2,1,148,0.233364583333333,0.198,0.231375
11,2,1,160,0.22871875,0.192,0.223375
11,2,2,222,0.231635416666667,0.193,0.227375
11,2,2,288,0.231229166666667,0.193,0.225625
12,2,1,130,0.287916666666667,0.286,0.289875
12,2,1,143,0.289958333333333,0.289,0.2915
12,2,1,200,0.284052083333333,0.279,0.28925
12,2,2,202,0.28640625,0.284,0.288875
12,2,2,231,0.287010416666667,0.285,0.28825
12,2,2,237,0.288479166666667,0.287,0.291375
12,2,2,300,0.281135416666667,0.277,0.28525
13,2,1,130,0.225552083333333,0.224,0.227
13,2,1,133,0.22834375,0.227,0.23
13,2,1,151,0.228572916666667,0.227,0.22975
13,2,1,158,0.226520833333333,0.226,0.227875
14,2,1,109,0.2362,0.234,0.23875
14,2,2,206,0.241094736842105,0.239,0.244
14,2,2,212,0.237157894736842,0.236,0.23875
14,2,2,215,0.236947368421053,0.236,0.23925
14,2,2,248,0.238473684210526,0.237,0.240875
14,2,2,280,0.234831578947368,0.233,0.23775
14,2,2,300,0.232263157894737,0.229,0.2365
15,2,1,114,0.246568181818182,0.245,0.2475
15,2,1,146,0.245795454545455,0.245,0.247
15,2,1,160,0.243784090909091,0.241,0.246625
15,2,2,223,0.246147727272727,0.245,0.24825
15,2,2,286,0.243522727272727,0.242,0.2445
16,2,1,135,0.289966666666667,0.289,0.29225
16,2,2,222,0.286355555555556,0.285,0.288625
16,2,2,231,0.286644444444444,0.285,0.288375
16,2,2,262,0.287833333333333,0.286,0.289
17,2,1,161,0.244739583333333,0.243,0.24625
17,2,1,170,0.244083333333333,0.243,0.246
17,2,1,186,0.24771875,0.246,0.247625
18,2,1,133,0.227195402298851,0.226,0.228
18,2,1,157,0.225540229885057,0.224,0.227375
18,2,2,242,0.227206896551724,0.226,0.227875
18,2,2,285,0.223195402298851,0.222,0.223
19,2,1,157,0.15684375,0.156,0.15775
19,2,1,161,0.23909375,0.237,0.238375
19,2,1,185,0.237083333333333,0.236,0.237625
19,2,1,194,0.238520833333333,0.237,0.239
19,2,2,233,0.237375,0.235,0.238125
19,2,2,241,0.233677083333333,0.231,0.235
19,2,2,248,0.233145833333333,0.232,0.23675
19,2,2,297,0.229489583333333,0.228,0.2305
20,2,2,234,0.23453125,0.233,0.237125
20,2,2,262,0.23328125,0.232,0.234125
20,2,2,287,0.228864583333333,0.228,0.229875
21,2,1,106,0.23703125,0.234,0.240125
21,2,1,111,0.239604166666667,0.238,0.241
21,2,1,158,0.24040625,0.239,0.2415
21,2,1,188,0.2385625,0.238,0.239125
21,2,2,262,0.238041666666667,0.237,0.23825
21,2,2,270,0.238697916666667,0.237,0.24075
21,2,2,281,0.239041666666667,0.237,0.239625
21,2,2,285,0.2404375,0.239,0.24
22,2,1,117,0.23640625,0.235,0.238125
22,2,1,147,0.23659375,0.236,0.237875
22,2,1,156,0.237197916666667,0.236,0.23775
22,2,1,157,0.236864583333333,0.236,0.2385
22,2,1,159,0.237208333333333,0.236,0.23825
22,2,1,166,0.235520833333333,0.235,0.235625
22,2,1,171,0.240583333333333,0.24,0.241
22,2,1,179,0.234572916666667,0.234,0.23525
22,2,1,194,0.238979166666667,0.238,0.239125
22,2,2,201,0.234291666666667,0.231,0.237125
22,2,2,247,0.234791666666667,0.234,0.237125
22,2,2,259,0.244625,0.243,0.246375
22,2,2,287,0.23915625,0.233,0.23525
