FACS_plate,Row,Column,sample
1,A,1,64
1,A,2,119
1,A,3,87x87
1,A,4,7
1,A,5,75x20
1,A,6,90x90
1,A,7,30
1,A,8,68x68
1,A,9,5x5
1,A,10,28x28
1,A,11,10x10
1,A,12,40x40
1,B,1,69
1,B,2,129
1,B,3,5x20
1,B,4,37x135
1,B,5,46x46
1,B,6,64x64
1,B,7,85
1,B,8,20x20
1,B,9,59x59
1,B,10,91
1,B,11,81x67
1,B,12,57x96
1,C,1,29
1,C,2,47x46
1,C,3,11
1,C,4,48
1,C,5,5
1,C,6,122
1,C,7,77x77
1,C,8,4x4
1,C,9,93x93
1,C,10,102
1,C,11,29x135
1,C,12,130
1,D,1,23x20
1,D,2,66
1,D,3,63
1,D,4,94x94
1,D,5,45x67
1,D,6,125x125
1,D,7,100x100
1,D,8,116
1,D,9,99
1,D,10,67x67
1,D,11,17
1,D,12,108x108
1,E,1,126x126
1,E,2,80
1,E,3,50x46
1,E,4,32x32
1,E,5,56x56
1,E,6,16
1,E,7,88x93
1,E,8,61x61
1,E,9,44
1,E,10,46x96
1,E,11,108x20
1,E,12,80x80
1,F,1,73
1,F,2,24x135
1,F,3,125
1,F,4,4x46
1,F,5,133
1,F,6,114
1,F,7,8x93
1,F,8,85x93
1,F,9,34x96
1,F,10,19
1,F,11,131x131
1,F,12,32
1,G,1,3
1,G,2,83
1,G,3,69x67
1,G,4,108
1,G,5,7x7
1,G,6,86x86
1,G,7,76x96
1,G,8,79x96
1,G,9,123
1,G,10,67
1,G,11,130x130
1,G,12,42
1,H,1,65
1,H,2,18x67
1,H,3,43
1,H,4,96
1,H,5,11x11
1,H,6,44x44
1,H,7,95x135
1,H,8,10
1,H,9,33
1,H,10,48x135
1,H,11,a-2
1,H,12,18x18
2,A,1,12x12
2,A,2,58x58
2,A,3,1x1
2,A,4,51x51
2,A,5,96x96
2,A,6,96x46
2,A,7,82x93
2,A,8,1x67
2,A,9,127x127
2,A,10,101x20
2,A,11,27
2,A,12,88
2,B,1,116x135
2,B,2,127
2,B,3,74x74
2,B,4,1
2,B,5,dip-2
2,B,6,71x96
2,B,7,54
2,B,8,117
2,B,9,43x20
2,B,10,11x67
2,B,11,57x57
2,B,12,134x135
2,C,1,133x133
2,C,2,136
2,C,3,28x67
2,C,4,49
2,C,5,136x20
2,C,6,118x93
2,C,7,92x20
2,C,8,129x129
2,C,9,59x20
2,C,10,23x23
2,C,11,98x98
2,C,12,104x104
2,D,1,110x93
2,D,2,124x20
2,D,3,80x135
2,D,4,129x93
2,D,5,112
2,D,6,95
2,D,7,43x43
2,D,8,105x67
2,D,9,121x121
2,D,10,72
2,D,11,125x20
2,D,12,82
2,E,1,54x96
2,E,2,98
2,E,3,45x45
2,E,4,119x119
2,E,5,55x55
2,E,6,113x93
2,E,7,75
2,E,8,70
2,E,9,77x96
2,E,10,110x110
2,E,11,71x71
2,E,12,57
2,F,1,30x67
2,F,2,75x75
2,F,3,90x135
2,F,4,87x96
2,F,5,17x135
2,F,6,62x67
2,F,7,78x78
2,F,8,53
2,F,9,26x26
2,F,10,14
2,F,11,7x135
2,F,12,55x67
2,G,1,78
2,G,2,50x50
2,G,3,53x53
2,G,4,101x101
2,G,5,2x93
2,G,6,14x14
2,G,7,23
2,G,8,128x128
2,G,9,109
2,G,10,60x60
2,G,11,122x67
2,G,12,58
2,H,1,59
2,H,2,113x113
2,H,3,34x34
2,H,4,2
2,H,5,16x46
2,H,6,39x67
2,H,7,62x62
2,H,8,89x89
2,H,9,81
2,H,10,39
2,H,11,42x93
2,H,12,106
3,A,1,72x96
3,A,2,103x96
3,A,3,47x47
3,A,4,101
3,A,5,41x96
3,A,6,73x135
3,A,7,120x46
3,A,8,97x97
3,A,9,91x91
3,A,10,9
3,A,11,24
3,A,12,90
3,B,1,50
3,B,2,120x120
3,B,3,60x135
3,B,4,15x15
3,B,5,131x135
3,B,6,79x79
3,B,7,118x118
3,B,8,107
3,B,9,42x42
3,B,10,31x31
3,B,11,64x46
3,B,12,117x46
3,C,1,18
3,C,2,36x36
3,C,3,114x114
3,C,4,122x122
3,C,5,2x2
3,C,6,74x135
3,C,7,86
3,C,8,62
3,C,9,126x93
3,C,10,87
3,C,11,46x83
3,C,12,130x46
3,D,1,77
3,D,2,15x67
3,D,3,9x46
3,D,4,76
3,D,5,49x46
3,D,6,109x109
3,D,7,117x117
3,D,8,66x93
3,D,9,93
3,D,10,15
3,D,11,33x20
3,D,12,20x67
3,E,1,28
3,E,2,37x37
3,E,3,36
3,E,4,9x9
3,E,5,26x46
3,E,6,25x25
3,E,7,44x67
3,E,8,82x82
3,E,9,100
3,E,10,136x136
3,E,11,128
3,E,12,103
3,F,1,16x16
3,F,2,78x93
3,F,3,99x46
3,F,4,29x29
3,F,5,47
3,F,6,115x20
3,F,7,128x135
3,F,8,3x135
3,F,9,12x20
3,F,10,37
3,F,11,102x67
3,F,12,107x107
3,G,1,70x96
3,G,2,10x96
3,G,3,115x115
3,G,4,51x93
3,G,5,104
3,G,6,99x99
3,G,7,38x46
3,G,8,104x67
3,G,9,79
3,G,10,38x38
3,G,11,6
3,G,12,69x69
3,H,1,14x46
3,H,2,120
3,H,3,114x93
3,H,4,60
3,H,5,8x8
3,H,6,123x20
3,H,7,30x30
3,H,8,92x92
3,H,9,55
3,H,10,22x22
3,H,11,63x63
3,H,12,81x81
4,A,1,49x49
4,A,2,106x96
4,A,3,41
4,A,4,67x93
4,A,5,123x123
4,A,6,97x93
4,A,7,124x124
4,A,8,112x112
4,A,9,118
4,A,10,19x19
4,A,11,36x20
4,A,12,124
4,B,1,22
4,B,2,38
4,B,3,46
4,B,4,74
4,B,5,31x46
4,B,6,127x93
4,B,7,98x20
4,B,8,92
4,B,9,119x93
4,B,10,56
4,B,11,110
4,B,12,85x85
4,C,1,105x105(uncertain)
4,C,2,24x24(uncertain)
4,C,3,70x70(uncertain)
4,C,4,4(uncertain)
4,C,5,89(uncertain)
4,C,6,89
4,C,7,93x67
4,C,8,25x96
4,C,9,68
4,C,10,72x72
4,C,11,126
4,C,12,65x65
4,D,1,3x3
4,D,2,94x96
4,D,3,107x135
4,D,4,31
4,D,5,12
4,D,6,121x67
4,D,7,134
4,D,8,26
4,D,9,105
4,D,10,133x67
4,D,11,71
4,D,12,95x95
4,E,1,86x46
4,E,2,116x116
4,E,3,32x96
4,E,4,102x102
4,E,5,41x41
4,E,6,115
4,E,7,103x103
4,E,8,40x135
4,E,9,76x76
4,E,10,17x17
4,E,11,131
4,E,12,66x66
4,F,1,94
4,F,2,68x20
4,F,3,34
4,F,4,51
4,F,5,45
4,F,6,61
4,F,7,61x135
4,F,8,135x46
4,F,9,25
4,F,10,27x20
4,F,11,8
4,F,12,109x67
4,G,1,97
4,G,2,40
4,G,3,63x46
4,G,4,73x73
4,G,5,6x6
4,G,6,65x93
4,G,7,19x67
4,G,8,135
4,G,9,121
4,G,10,22x96
4,G,11,58x20
4,G,12,100x46
4,H,1,27x27
4,H,2,6x96
4,H,3,20
4,H,4,113
4,H,5,88x88
4,H,6,54x54
4,H,7,89x135
4,H,8,56x67
4,H,9,53x96
4,H,10,112x93
4,H,11,91x20
4,H,12,135x135