line_code,YPAD,YPG,YPAD_G418,,,,,,
1,1,0,0,,,,,,
2,1,0,0,,,,,legend,
3,1,0,1,,,,,0,no growth
4,1,1,1,,,,,1,growth
5,1,1,0,,,,,,
6,1,1,1,,,,,,
7,1,1,1,,,,,,
8,1,0,0,,,,,,
9,1,1,1,,,,,,
10,1,0,1,,,,,,
11,1,0,0,,,,,,
12,1,0,0,,,,,,
14,1,1,1,,,,,,
15,1,1,0,,,,,,
16,1,1,1,,,,,,
17,1,1,1,,,,,,
18,1,1,0,,,,,,
19,1,1,0,,,,,,
20,1,0,0,,,,,,
22,1,1,1,,,,,,
23,1,1,0,,,,,,
24,1,1,1,,,,,,
25,1,1,1,,,,,,
26,1,1,1,,,,,,
27,1,0,0,,,,,,
28,1,1,0,,,,,,
29,1,0,1,,,,,,
30,1,1,0,,,,,,
31,1,1,1,,,,,,
32,1,0,1,,,,,,
33,1,1,0,,,,,,
34,1,1,1,,,,,,
35,1,0,1,,,,,,
36,1,0,0,,,,,,
37,1,1,1,,,,,,
38,1,0,1,,,,,,
40,1,0,1,,,,,,
41,1,0,1,,,,,,
42,1,0,0,,,,,,
43,1,0,0,,,,,,
44,1,1,0,,,,,,
45,1,0,0,,,,,,
46,1,0,1,,,,,,
47,1,0,1,,,,,,
48,1,1,1,,,,,,
49,1,0,1,,,,,,
50,1,1,1,,,,,,
51,1,1,0,,,,,,
53,1,1,1,,,,,,
54,1,1,1,,,,,,
55,1,1,0,,,,,,
56,1,0,0,,,,,,
57,1,0,1,,,,,,
58,1,0,0,,,,,,
59,1,0,0,,,,,,
60,1,0,1,,,,,,
61,1,1,1,,,,,,
62,1,1,0,,,,,,
63,1,0,1,,,,,,
64,1,1,1,,,,,,
65,1,0,0,,,,,,
66,1,0,0,,,,,,
67,1,1,0,,,,,,
68,1,1,0,,,,,,
69,1,0,0,,,,,,
70,1,1,1,,,,,,
71,1,1,1,,,,,,
72,1,0,1,,,,,,
73,1,0,1,,,,,,
74,1,0,1,,,,,,
75,1,0,0,,,,,,
76,1,0,1,,,,,,
77,1,1,1,,,,,,
78,1,0,0,,,,,,
79,1,0,1,,,,,,
80,1,0,1,,,,,,
81,1,1,0,,,,,,
82,1,1,0,,,,,,
83,1,0,1,,,,,,
85,1,0,0,,,,,,
86,1,1,1,,,,,,
87,1,1,1,,,,,,
88,1,1,0,,,,,,
89,1,0,1,,,,,,
90,1,1,1,,,,,,
91,1,1,0,,,,,,
92,1,1,0,,,,,,
93,1,0,0,,,,,,
94,1,0,1,,,,,,
95,1,1,1,,,,,,
96,1,0,1,,,,,,
97,1,0,0,,,,,,
98,1,0,0,,,,,,
99,1,0,1,,,,,,
100,1,0,1,,,,,,
101,1,1,0,,,,,,
102,1,1,0,,,,,,
103,1,0,1,,,,,,
104,1,1,0,,,,,,
105,1,0,0,,,,,,
106,1,0,1,,,,,,
107,1,1,1,,,,,,
108,1,0,0,,,,,,
109,1,1,0,,,,,,
110,1,0,0,,,,,,
111,1,0,0,,,,,,
112,1,1,0,,,,,,
113,1,0,0,,,,,,
114,1,1,0,,,,,,
115,1,1,0,,,,,,
116,1,1,1,,,,,,
117,1,0,1,,,,,,
118,1,1,0,,,,,,
119,1,1,0,,,,,,
120,1,1,1,,,,,,
121,1,0,0,,,,,,
122,1,0,0,,,,,,
123,1,1,0,,,,,,
124,1,1,0,,,,,,
125,1,0,0,,,,,,
126,1,0,0,,,,,,
127,1,0,0,,,,,,
128,1,1,1,,,,,,
129,1,1,0,,,,,,
130,1,1,1,,,,,,
131,1,0,1,,,,,,
133,1,0,0,,,,,,
134,1,0,1,,,,,,
135,1,0,1,,,,,,
136,1,1,0,,,,,,
1x1,1,0,0,,,,,,
1x67,1,0,0,,,,,,
2x2,1,0,0,,,,,,
2x93,1,0,0,,,,,,
3x3,1,1,1,,,,,,
3x135,1,1,1,,,,,,
4x4,1,1,1,,,,,,
4x46,1,1,1,,,,,,
5x5,1,0,0,,,,,,
5x20,1,0,0,,,,,,
6x6,1,0,1,,,,,,
6x96,1,1,1,,,,,,
7x7,1,1,1,,,,,,
7x135,1,1,1,,,,,,
8x8,1,0,0,,,,,,
8x93,1,0,0,,,,,,
9x9,1,1,1,,,,,,
9x46,1,1,1,,,,,,
10x10,1,1,1,,,,,,
10x96,1,1,1,,,,,,
11x11,1,0,0,,,,,,
11x67,1,0,0,,,,,,
12x12,1,0,0,,,,,,
12x20,1,0,0,,,,,,
14x14,1,1,1,,,,,,
14x46,1,1,1,,,,,,
15x15,1,1,0,,,,,,
15x67,1,1,0,,,,,,
16x16,1,1,1,,,,,,
16x46,1,0,1,,,,,,
17x17,1,0,1,,,,,,
17x135,1,1,1,,,,,,
18x18,1,0,0,,,,,,
18x67,1,0,0,,,,,,
19x19,1,0,0,,,,,,
19x67,1,0,0,,,,,,
20x20,1,0,0,,,,,,
20x67,1,0,0,,,,,,
22x22,1,1,1,,,,,,
22x96,1,1,1,,,,,,
23x23,1,0,0,,,,,,
23x20,1,0,0,,,,,,
24x24,1,1,1,,,,,,
24x135,1,0,1,,,,,,
25x25,1,0,1,,,,,,
25x96,1,1,1,,,,,,
26x26,1,0,1,,,,,,
26x46,1,1,1,,,,,,
27x27,1,0,0,,,,,,
27x20,1,1,0,,,,,,
28x28,1,0,0,,,,,,
28x67,1,0,0,,,,,,
29x29,1,0,1,,,,,,
29x135,1,1,1,,,,,,
30x30,1,1,0,,,,,,
30x67,1,0,0,,,,,,
31x31,1,1,1,,,,,,
31x46,1,1,1,,,,,,
32x32,1,0,1,,,,,,
32x96,1,1,1,,,,,,
33x33,1,0,0,,,,,,
33x20,1,0,0,,,,,,
34x34,1,1,1,,,,,,
34x96,1,0,1,,,,,,
35x35,1,0,1,,,,,,
35x46,1,0,1,,,,,,
36x36,1,1,0,,,,,,
36x20,1,0,0,,,,,,
37x37,1,1,1,,,,,,
37x135,1,1,1,,,,,,
38x38,1,1,1,,,,,,
38x46,1,0,1,,,,,,
40x40,1,1,1,,,,,,
40x135,1,1,1,,,,,,
41x41,1,1,1,,,,,,
41x96,1,0,1,,,,,,
42x42,1,0,0,,,,,,
42x93,1,0,0,,,,,,
43x43,1,0,0,,,,,,
43x20,1,0,0,,,,,,
44x44,1,1,0,,,,,,
44x67,1,0,0,,,,,,
45x45,1,0,0,,,,,,
45x67,1,1,0,,,,,,
46x46,1,1,1,,,,,,
46x96,1,1,1,,,,,,
47x47,1,1,1,,,,,,
47x46,1,1,1,,,,,,
48x48,1,0,1,,,,,,
48x135,1,1,1,,,,,,
49x49,1,1,1,,,,,,
49x46,1,0,1,,,,,,
50x50,1,0,1,,,,,,
50x46,1,1,1,,,,,,
51x51,1,0,0,,,,,,
51x93,1,1,0,,,,,,
53x53,1,0,1,,,,,,
53x96,1,1,1,,,,,,
54x54,1,1,1,,,,,,
54x96,1,0,1,,,,,,
55x55,1,0,0,,,,,,
55x67,1,1,0,,,,,,
56x56,1,0,0,,,,,,
56x67,1,0,0,,,,,,
57x57,1,0,1,,,,,,
57x96,1,0,1,,,,,,
58x58,1,0,0,,,,,,
58x20,1,0,0,,,,,,
59x59,1,1,0,,,,,,
59x20,1,0,0,,,,,,
60x60,1,1,1,,,,,,
60x135,1,1,1,,,,,,
61x61,1,0,1,,,,,,
61x135,1,0,1,,,,,,
62x62,1,0,0,,,,,,
62x67,1,0,0,,,,,,
63x63,1,0,1,,,,,,
63x46,1,1,1,,,,,,
64x64,1,1,1,,,,,,
64x46,1,1,1,,,,,,
65x65,1,0,0,,,,,,
65x93,1,0,0,,,,,,
66x66,1,0,0,,,,,,
66x93,1,0,0,,,,,,
67x67,1,0,0,,,,,,
67x93,1,0,0,,,,,,
68x68,1,1,0,,,,,,
68x20,1,0,0,,,,,,
69x69,1,0,0,,,,,,
69x67,1,0,0,,,,,,
70x70,1,0,1,,,,,,
70x96,1,0,1,,,,,,
71x71,1,1,1,,,,,,
71x96,1,1,1,,,,,,
72x72,1,1,1,,,,,,
72x96,1,1,1,,,,,,
73x73,1,1,1,,,,,,
73x135,1,1,1,,,,,,
74x74,1,0,1,,,,,,
74x135,1,0,1,,,,,,
75x75,1,1,0,,,,,,
75x20,1,0,0,,,,,,
76x76,1,1,1,,,,,,
76x96,1,1,1,,,,,,
77x77,1,1,1,,,,,,
77x96,1,1,1,,,,,,
78x78,1,0,0,,,,,,
78x93,1,0,0,,,,,,
79x79,1,0,1,,,,,,
79x96,1,1,1,,,,,,
80x80,1,0,1,,,,,,
80x135,1,1,1,,,,,,
81x81,1,0,0,,,,,,
81x67,1,0,0,,,,,,
82x82,1,0,0,,,,,,
82x93,1,0,0,,,,,,
46x83,1,1,1,,,,,,
85x85,1,0,0,,,,,,
85x93,1,0,0,,,,,,
86x86,1,0,1,,,,,,
86x46,1,1,1,,,,,,
87x87,1,1,1,,,,,,
87x96,1,0,1,,,,,,
88x88,1,0,0,,,,,,
88x93,1,0,0,,,,,,
89x89,1,1,1,,,,,,
89x135,1,0,1,,,,,,
90x90,1,1,1,,,,,,
90x135,1,1,1,,,,,,
91x91,1,0,0,,,,,,
91x20,1,0,0,,,,,,
92x92,1,0,0,,,,,,
92x20,1,0,0,,,,,,
93x93,1,0,0,,,,,,
93x67,1,0,0,,,,,,
94x94,1,0,1,,,,,,
94x96,1,0,1,,,,,,
95x95,1,1,1,,,,,,
95x135,1,0,1,,,,,,
96x96,1,1,1,,,,,,
96x46,1,1,1,,,,,,
97x97,1,0,0,,,,,,
97x93,1,0,0,,,,,,
98x98,1,0,0,,,,,,
98x20,1,0,0,,,,,,
99x99,1,0,1,,,,,,
99x46,1,1,1,,,,,,
100x100,1,0,1,,,,,,
100x46,1,1,1,,,,,,
101x101,1,0,0,,,,,,
101x20,1,0,0,,,,,,
102x102,1,0,0,,,,,,
102x67,1,0,0,,,,,,
103x103,1,0,1,,,,,,
103x96,1,1,1,,,,,,
104x104,1,0,0,,,,,,
104x67,1,0,0,,,,,,
105x105,1,0,0,,,,,,
105x67,1,1,0,,,,,,
106x106,1,0,1,,,,,,
106x96,1,0,1,,,,,,
107x107,1,1,1,,,,,,
107x135,1,1,1,,,,,,
108x108,1,0,0,,,,,,
108x20,1,0,0,,,,,,
109x109,1,0,0,,,,,,
109x67,1,0,0,,,,,,
110x110,1,0,0,,,,,,
110x93,1,0,0,,,,,,
111x111,1,0,0,,,,,,
111x93,1,0,0,,,,,,
112x112,1,0,0,,,,,,
112x93,1,0,0,,,,,,
113x113,1,0,0,,,,,,
113x93,1,0,0,,,,,,
114x114,1,0,0,,,,,,
114x93,1,1,0,,,,,,
115x115,1,0,0,,,,,,
115x20,1,1,0,,,,,,
116x116,1,1,1,,,,,,
116x135,1,1,1,,,,,,
117x117,1,0,1,,,,,,
117x46,1,1,1,,,,,,
118x118,1,1,0,,,,,,
118x93,1,1,0,,,,,,
119x119,1,1,0,,,,,,
119x93,1,0,0,,,,,,
120x120,1,1,1,,,,,,
120x46,1,1,1,,,,,,
121x121,1,0,0,,,,,,
121x67,1,0,0,,,,,,
122x122,1,0,0,,,,,,
122x67,1,0,0,,,,,,
123x123,1,0,0,,,,,,
123x20,1,0,0,,,,,,
124x124,1,0,0,,,,,,
124x20,1,0,0,,,,,,
125x125,1,0,0,,,,,,
125x20,1,0,0,,,,,,
126x126,1,1,0,,,,,,
126x93,1,0,0,,,,,,
127x127,1,0,0,,,,,,
127x93,1,0,0,,,,,,
128x128,1,1,1,,,,,,
128x135,1,0,1,,,,,,
129x129,1,0,0,,,,,,
129x93,1,0,0,,,,,,
130x130,1,0,1,,,,,,
130x46,1,0,1,,,,,,
131x131,1,1,1,,,,,,
131x135,1,0,1,,,,,,
133x133,1,0,0,,,,,,
133x67,1,0,0,,,,,,
134x134,1,0,1,,,,,,
134x135,1,1,1,,,,,,
135x135,1,0,1,,,,,,
135x46,1,1,1,,,,,,
136x136,1,0,0,,,,,,
136x20,1,0,0,,,,,,