Group,Line,Ploidy,MAT,RDH54
MA,63,dip,dip,del
MA,181,hap,a,del
MA,156,dip,dip,wt
MA,103,dip,dip,del
control,329,hap,alpha,wt
MA,129,hap,a,wt
MA,115,dip,dip,wt
control,422,hap,alpha,del
MA,64,dip,dip,del
control,311,dip,dip,wt
control,400,dip,dip,del
control,398,dip,dip,del
MA,211,hap,alpha,wt
control,328,hap,alpha,wt
control,458,dip,dip,del
MA,220,hap,a,del
control,459,dip,dip,del
MA,60,dip,dip,wt
MA,57,hap,a,wt
control,348,hap,a,del
control,337,dip,dip,del
control,460,dip,dip,del
control,367,dip,dip,wt
MA,213,hap,alpha,wt
control,359,hap,alpha,del
MA,73,hap,a,wt
control,466,dip,dip,del
MA,198,hap,alpha,del
control,335,dip,dip,del
MA,171,dip,dip,wt
control,350,hap,a,del
control,413,hap,a,del
control,418,hap,alpha,del
control,360,hap,alpha,del
MA,27,dip,dip,wt
MA,23,dip,dip,del
MA,121,hap,a,wt
control,469,hap,a,del
control,379,hap,a,wt
MA,181,hap,a,del
MA,212,hap,alpha,wt
control,320,hap,a,wt
control,425,dip,dip,wt
control,452,hap,alpha,wt
control,352,hap,a,del
MA,137,hap,a,wt
control,463,dip,dip,del
MA,130,hap,alpha,wt
control,406,dip,dip,del
control,308,dip,dip,wt
MA,21,hap,a,del
control,301,dip,dip,wt
MA,150,hap,alpha,del
control,314,dip,dip,wt
control,372,dip,dip,wt
MA,91,dip,dip,wt
MA,3,dip,dip,wt
MA,106,hap,alpha,wt
MA,140,dip,dip,wt
MA,125,hap,a,del
control,373,dip,dip,wt
MA,4,dip,dip,wt
control,410,hap,a,del
control,333,dip,dip,del
control,353,hap,a,del
MA,82,dip,dip,wt
control,356,hap,alpha,del
MA,149,hap,a,del
MA,59,dip,dip,wt
MA,131,dip,dip,wt
MA,194,hap,alpha,wt
MA,190,hap,alpha,del
MA,5,hap,a,del
MA,204,hap,alpha,wt
MA,144,dip,dip,del
MA,173,hap,a,del
control,305,dip,dip,wt
MA,138,dip,dip,wt
control,430,dip,dip,wt
control,307,dip,dip,wt
MA,12,dip,dip,wt
MA,54,hap,alpha,del
MA,77,hap,a,del
control,332,hap,alpha,wt
MA,215,hap,alpha,wt
control,438,hap,a,wt
MA,169,hap,a,wt
MA,141,hap,a,del
control,358,hap,alpha,del
MA,159,dip,dip,del
control,318,hap,a,wt
control,435,dip,dip,wt
MA,119,dip,dip,del
MA,188,dip,dip,wt
control,394,dip,dip,del
MA,134,hap,alpha,del
control,445,hap,a,wt
MA,78,hap,alpha,del
control,409,hap,a,del
control,384,hap,a,wt
control,302,dip,dip,wt
control,363,dip,dip,wt
control,467,dip,dip,del
MA,151,dip,dip,del
control,331,hap,alpha,wt
control,412,hap,a,del
control,419,hap,alpha,del
MA,160,dip,dip,del
MA,67,dip,dip,wt
MA,157,hap,a,del
MA,120,dip,dip,del
MA,26,hap,alpha,wt
control,383,hap,a,wt
control,357,hap,alpha,del
MA,200,dip,dip,del
MA,19,dip,dip,wt
MA,89,hap,a,wt
MA,11,dip,dip,wt
MA,206,hap,alpha,wt
MA,87,dip,dip,del
control,478,hap,alpha,del
MA,92,dip,dip,wt
MA,58,dip,dip,wt
control,362,hap,alpha,del
MA,153,hap,a,wt
control,403,dip,dip,del
control,317,hap,a,wt
MA,133,hap,a,del
MA,148,dip,dip,wt
MA,122,dip,dip,wt
MA,139,dip,dip,wt
MA,162,dip,dip,wt
MA,214,hap,alpha,wt
MA,93,hap,a,del
MA,192,dip,dip,del
control,481,hap,alpha,del
MA,191,dip,dip,del
MA,50,hap,alpha,wt
MA,108,dip,dip,wt
control,479,hap,alpha,del
MA,199,dip,dip,del
MA,18,dip,dip,wt
control,369,dip,dip,wt
MA,32,dip,dip,del
control,472,hap,a,del
control,389,hap,alpha,wt
control,414,hap,a,del
control,321,hap,a,wt
MA,22,hap,alpha,del
MA,43,dip,dip,wt
control,468,hap,a,del
MA,1,hap,a,wt
MA,186,hap,alpha,wt
MA,184,dip,dip,del
MA,55,dip,dip,del
control,364,dip,dip,wt
control,450,hap,alpha,wt
control,427,dip,dip,wt
control,386,hap,alpha,wt
control,316,dip,dip,wt
control,447,hap,alpha,wt
MA,83,dip,dip,wt
MA,31,dip,dip,del
control,402,dip,dip,del
MA,36,dip,dip,wt
control,326,hap,alpha,wt
MA,53,hap,a,del
MA,193,hap,a,wt
control,407,dip,dip,del
control,475,hap,a,del
MA,75,dip,dip,wt
control,392,hap,alpha,wt
MA,152,dip,dip,del
control,443,hap,a,wt
MA,176,dip,dip,del
control,381,hap,a,wt
control,312,dip,dip,wt
MA,146,dip,dip,wt
MA,175,dip,dip,del
MA,163,dip,dip,wt
MA,13,hap,a,del
control,462,dip,dip,del
MA,76,dip,dip,wt
MA,179,dip,dip,wt
MA,38,hap,alpha,del
control,309,dip,dip,wt
control,319,hap,a,wt
control,424,dip,dip,wt
MA,84,dip,dip,wt
control,334,dip,dip,del
MA,33,hap,a,wt
control,366,dip,dip,wt
MA,29,hap,a,del
MA,71,dip,dip,del
MA,63,dip,dip,del
control,399,dip,dip,del
control,377,dip,dip,wt
MA,143,dip,dip,del
MA,203,hap,alpha,wt
control,453,dip,dip,del
MA,41,hap,a,wt
MA,24,dip,dip,del
MA,136,dip,dip,del
control,339,dip,dip,del
MA,65,hap,a,wt
MA,86,hap,alpha,del
MA,101,hap,a,del
MA,9,hap,a,wt
MA,158,hap,alpha,del
MA,165,hap,a,del
MA,104,dip,dip,del
control,304,dip,dip,wt
control,391,hap,alpha,wt
MA,219,hap,alpha,del
control,346,dip,dip,del
control,456,dip,dip,del
MA,95,dip,dip,del
MA,88,dip,dip,del
control,351,hap,a,del
MA,112,dip,dip,del
control,464,dip,dip,del
MA,174,hap,alpha,del
MA,44,dip,dip,wt
control,378,hap,a,wt
MA,25,hap,a,wt
MA,208,hap,alpha,wt
MA,51,dip,dip,wt
MA,111,dip,dip,del
control,461,dip,dip,del
MA,145,hap,a,wt
MA,56,dip,dip,del
MA,14,hap,alpha,del
MA,161,hap,a,wt
MA,123,dip,dip,wt
MA,109,hap,a,del
MA,167,dip,dip,del
MA,10,hap,alpha,wt
control,423,dip,dip,wt
control,470,hap,a,del
control,313,dip,dip,wt
MA,170,dip,dip,wt
MA,94,hap,alpha,del
control,436,dip,dip,wt
MA,185,hap,a,wt
control,395,dip,dip,del
control,347,dip,dip,del
control,340,dip,dip,del
control,385,hap,alpha,wt
control,341,dip,dip,del
control,390,hap,alpha,wt
MA,52,dip,dip,wt
control,354,hap,a,del
MA,90,dip,dip,wt
MA,180,dip,dip,wt
MA,154,hap,alpha,wt
control,408,hap,a,del
MA,72,dip,dip,del
MA,47,dip,dip,del
control,416,hap,alpha,del
MA,48,dip,dip,del
control,455,dip,dip,del
MA,113,hap,a,wt
MA,178,hap,alpha,wt
MA,117,hap,a,del
MA,164,dip,dip,wt
MA,100,dip,dip,wt
control,397,dip,dip,del
control,411,hap,a,del
MA,61,hap,a,del
control,396,dip,dip,del
control,448,hap,alpha,wt
control,368,dip,dip,wt
control,446,hap,alpha,wt
MA,102,hap,alpha,del
MA,68,dip,dip,wt
MA,28,dip,dip,wt
MA,205,hap,alpha,wt
control,442,hap,a,wt
MA,217,dip,dip,del
control,393,dip,dip,del
control,382,hap,a,wt
MA,16,dip,dip,del
control,370,dip,dip,wt
control,371,dip,dip,wt
MA,114,hap,alpha,wt
control,474,hap,a,del
MA,197,hap,a,del
MA,30,hap,alpha,del
control,344,dip,dip,del
control,322,hap,a,wt
control,349,hap,a,del
control,439,hap,a,wt
control,361,hap,alpha,del
MA,42,dip,dip,wt
control,376,dip,dip,wt
MA,17,hap,a,wt
MA,39,dip,dip,del
MA,37,hap,a,del
MA,126,hap,alpha,del
MA,177,hap,a,wt
control,303,dip,dip,wt
control,417,hap,alpha,del
MA,107,dip,dip,wt
control,345,dip,dip,del
MA,105,hap,a,wt
MA,187,dip,dip,wt
MA,98,hap,alpha,wt
control,380,hap,a,wt
MA,8,dip,dip,del
control,476,hap,alpha,del
control,365,dip,dip,wt
control,375,dip,dip,wt
MA,209,hap,alpha,wt
MA,70,hap,alpha,del
control,342,dip,dip,del
MA,155,dip,dip,wt
MA,127,dip,dip,del
MA,99,dip,dip,wt
MA,2,hap,alpha,wt
control,355,hap,a,del
MA,20,dip,dip,wt
control,420,hap,alpha,del
MA,166,hap,alpha,del
control,433,dip,dip,wt
control,454,dip,dip,del
MA,81,hap,a,wt
MA,207,hap,alpha,wt
MA,135,dip,dip,del
control,401,dip,dip,del
MA,183,dip,dip,del
MA,45,hap,a,del
control,415,hap,alpha,del
MA,132,dip,dip,wt
MA,216,hap,alpha,del
MA,69,hap,a,del
control,325,hap,alpha,wt
MA,195,dip,dip,wt
control,327,hap,alpha,wt
control,451,hap,alpha,wt
MA,196,dip,dip,wt
MA,80,dip,dip,del
MA,97,hap,a,wt
control,306,dip,dip,wt
control,477,hap,alpha,del
MA,7,dip,dip,del
control,471,hap,a,del
control,465,dip,dip,del
control,441,hap,a,wt
control,444,hap,a,wt
MA,85,hap,a,del
MA,128,dip,dip,del
control,315,dip,dip,wt
control,323,hap,a,wt
MA,74,dip,dip,wt
MA,15,dip,dip,del
control,480,hap,alpha,del
control,388,hap,alpha,wt
control,473,hap,a,del
MA,34,dip,dip,wt
control,482,hap,alpha,del
control,338,dip,dip,del
control,431,dip,dip,wt
control,426,dip,dip,wt
control,336,dip,dip,del
control,421,hap,alpha,del
MA,116,dip,dip,wt
MA,142,hap,alpha,del
control,449,hap,alpha,wt
control,405,dip,dip,del
control,432,dip,dip,wt
MA,202,hap,alpha,wt
MA,66,dip,dip,wt
MA,218,hap,alpha,wt
control,374,dip,dip,wt
control,330,hap,alpha,wt
MA,40,dip,dip,del
MA,147,dip,dip,wt
control,429,dip,dip,wt
MA,201,hap,alpha,wt
MA,168,dip,dip,del
MA,79,dip,dip,del
MA,124,dip,dip,wt
control,440,hap,a,wt
MA,46,hap,alpha,del
control,457,dip,dip,del
MA,49,hap,a,wt
control,434,dip,dip,wt
MA,182,hap,alpha,del
MA,6,hap,alpha,del
MA,96,dip,dip,del
control,343,dip,dip,del
MA,172,dip,dip,wt
MA,35,dip,dip,wt
MA,62,hap,alpha,del
control,437,dip,dip,wt
control,428,dip,dip,wt
MA,210,hap,alpha,wt
control,387,hap,alpha,wt
control,310,dip,dip,wt
control,324,hap,a,wt
control,404,dip,dip,del
MA,118,hap,alpha,del
control,397,dip,dip,del
control,480,hap,alpha,del
MA,177,hap,a,wt
control,458,dip,dip,del
MA,58,dip,dip,wt
MA,34,dip,dip,wt
MA,149,hap,a,del
MA,24,dip,dip,del
MA,158,hap,alpha,del
control,341,dip,dip,del
MA,165,hap,a,del
control,439,hap,a,wt
MA,109,hap,a,del
MA,100,dip,dip,wt
control,423,dip,dip,wt
control,374,dip,dip,wt
MA,92,dip,dip,wt
MA,103,dip,dip,del
MA,153,hap,a,wt
control,362,hap,alpha,del
control,462,dip,dip,del
MA,84,dip,dip,wt
control,445,hap,a,wt
control,375,dip,dip,wt
MA,98,hap,alpha,wt
control,309,dip,dip,wt
control,429,dip,dip,wt
MA,184,dip,dip,del
MA,56,dip,dip,del
control,353,hap,a,del
control,325,hap,alpha,wt
MA,164,dip,dip,wt
MA,194,hap,alpha,wt
control,315,dip,dip,wt
MA,188,dip,dip,wt
control,344,dip,dip,del
MA,127,dip,dip,del
control,440,hap,a,wt
MA,45,hap,a,del
MA,62,hap,alpha,del
control,368,dip,dip,wt
control,376,dip,dip,wt
MA,104,dip,dip,del
control,438,hap,a,wt
control,395,dip,dip,del
control,447,hap,alpha,wt
control,476,hap,alpha,del
MA,86,hap,alpha,del
control,419,hap,alpha,del
MA,214,hap,alpha,wt
MA,30,hap,alpha,del
control,391,hap,alpha,wt
MA,211,hap,alpha,wt
MA,128,dip,dip,del
MA,141,hap,a,del
MA,11,dip,dip,wt
control,367,dip,dip,wt
MA,131,dip,dip,wt
control,388,hap,alpha,wt
MA,201,hap,alpha,wt
control,416,hap,alpha,del
MA,96,dip,dip,del
MA,37,hap,a,del
MA,29,hap,a,del
MA,90,dip,dip,wt
control,372,dip,dip,wt
control,380,hap,a,wt
MA,111,dip,dip,del
MA,10,hap,alpha,wt
control,431,dip,dip,wt
control,408,hap,a,del
MA,40,dip,dip,del
control,329,hap,alpha,wt
control,444,hap,a,wt
MA,20,dip,dip,wt
MA,83,dip,dip,wt
MA,74,dip,dip,wt
MA,33,hap,a,wt
MA,154,hap,alpha,wt
control,381,hap,a,wt
MA,148,dip,dip,wt
control,421,hap,alpha,del
MA,197,hap,a,del
MA,25,hap,a,wt
MA,142,hap,alpha,del
MA,143,dip,dip,del
control,407,dip,dip,del
MA,80,dip,dip,del
control,471,hap,a,del
control,390,hap,alpha,wt
MA,53,hap,a,del
control,413,hap,a,del
MA,173,hap,a,del
control,313,dip,dip,wt
MA,85,hap,a,del
MA,2,hap,alpha,wt
control,322,hap,a,wt
control,346,dip,dip,del
MA,209,hap,alpha,wt
control,442,hap,a,wt
control,389,hap,alpha,wt
MA,195,dip,dip,wt
control,332,hap,alpha,wt
MA,17,hap,a,wt
control,301,dip,dip,wt
MA,26,hap,alpha,wt
MA,170,dip,dip,wt
MA,97,hap,a,wt
MA,162,dip,dip,wt
MA,108,dip,dip,wt
control,418,hap,alpha,del
control,308,dip,dip,wt
MA,64,dip,dip,del
MA,51,dip,dip,wt
MA,137,hap,a,wt
MA,102,hap,alpha,del
MA,95,dip,dip,del
MA,161,hap,a,wt
control,319,hap,a,wt
MA,198,hap,alpha,del
MA,76,dip,dip,wt
control,477,hap,alpha,del
MA,5,hap,a,del
control,303,dip,dip,wt
MA,191,dip,dip,del
MA,190,hap,alpha,del
MA,181,hap,a,del
control,451,hap,alpha,wt
MA,44,dip,dip,wt
control,302,dip,dip,wt
control,411,hap,a,del
control,457,dip,dip,del
control,360,hap,alpha,del
MA,36,dip,dip,wt
control,354,hap,a,del
control,320,hap,a,wt
MA,50,hap,alpha,wt
control,459,dip,dip,del
control,317,hap,a,wt
MA,46,hap,alpha,del
control,467,dip,dip,del
MA,122,dip,dip,wt
control,312,dip,dip,wt
control,454,dip,dip,del
control,449,hap,alpha,wt
MA,163,dip,dip,wt
control,430,dip,dip,wt
control,340,dip,dip,del
control,426,dip,dip,wt
MA,166,hap,alpha,del
control,406,dip,dip,del
control,364,dip,dip,wt
control,456,dip,dip,del
MA,159,dip,dip,del
control,348,hap,a,del
MA,157,hap,a,del
control,371,dip,dip,wt
MA,1,hap,a,wt
control,394,dip,dip,del
control,437,dip,dip,wt
MA,196,dip,dip,wt
control,400,dip,dip,del
control,425,dip,dip,wt
control,403,dip,dip,del
MA,87,dip,dip,del
control,338,dip,dip,del
MA,38,hap,alpha,del
control,352,hap,a,del
control,464,dip,dip,del
control,427,dip,dip,wt
control,379,hap,a,wt
MA,220,hap,a,del
control,335,dip,dip,del
control,345,dip,dip,del
control,428,dip,dip,wt
MA,57,hap,a,wt
MA,15,dip,dip,del
control,347,dip,dip,del
MA,82,dip,dip,wt
control,305,dip,dip,wt
MA,101,hap,a,del
control,453,dip,dip,del
control,424,dip,dip,wt
MA,210,hap,alpha,wt
control,482,hap,alpha,del
control,422,hap,alpha,del
control,337,dip,dip,del
MA,105,hap,a,wt
control,331,hap,alpha,wt
control,479,hap,alpha,del
MA,168,dip,dip,del
control,307,dip,dip,wt
control,474,hap,a,del
MA,216,hap,alpha,del
MA,130,hap,alpha,wt
MA,180,dip,dip,wt
MA,19,dip,dip,wt
MA,213,hap,alpha,wt
MA,121,hap,a,wt
MA,200,dip,dip,del
MA,59,dip,dip,wt
control,441,hap,a,wt
control,433,dip,dip,wt
control,334,dip,dip,del
MA,22,hap,alpha,del
MA,179,dip,dip,wt
MA,136,dip,dip,del
MA,89,hap,a,wt
MA,48,dip,dip,del
MA,114,hap,alpha,wt
MA,199,dip,dip,del
control,468,hap,a,del
control,333,dip,dip,del
MA,174,hap,alpha,del
control,378,hap,a,wt
control,417,hap,alpha,del
MA,12,dip,dip,wt
MA,135,dip,dip,del
MA,52,dip,dip,wt
MA,176,dip,dip,del
MA,99,dip,dip,wt
control,343,dip,dip,del
MA,21,hap,a,del
control,356,hap,alpha,del
control,475,hap,a,del
MA,81,hap,a,wt
MA,155,dip,dip,wt
MA,94,hap,alpha,del
control,351,hap,a,del
MA,106,hap,alpha,wt
control,365,dip,dip,wt
MA,79,dip,dip,del
MA,117,hap,a,del
MA,115,dip,dip,wt
MA,47,dip,dip,del
MA,32,dip,dip,del
MA,55,dip,dip,del
MA,119,dip,dip,del
MA,171,dip,dip,wt
MA,113,hap,a,wt
control,405,dip,dip,del
MA,206,hap,alpha,wt
control,434,dip,dip,wt
MA,13,hap,a,del
MA,8,dip,dip,del
control,472,hap,a,del
MA,73,hap,a,wt
MA,23,dip,dip,del
MA,41,hap,a,wt
control,359,hap,alpha,del
control,384,hap,a,wt
MA,31,dip,dip,del
control,366,dip,dip,wt
control,412,hap,a,del
MA,133,hap,a,del
control,478,hap,alpha,del
control,414,hap,a,del
MA,93,hap,a,del
control,385,hap,alpha,wt
MA,138,dip,dip,wt
MA,132,dip,dip,wt
control,370,dip,dip,wt
MA,193,hap,a,wt
control,377,dip,dip,wt
control,316,dip,dip,wt
MA,172,dip,dip,wt
control,318,hap,a,wt
MA,219,hap,alpha,del
MA,118,hap,alpha,del
control,415,hap,alpha,del
MA,35,dip,dip,wt
MA,129,hap,a,wt
MA,150,hap,alpha,del
control,361,hap,alpha,del
control,369,dip,dip,wt
control,404,dip,dip,del
MA,147,dip,dip,wt
MA,28,dip,dip,wt
MA,175,dip,dip,del
control,358,hap,alpha,del
MA,139,dip,dip,wt
control,321,hap,a,wt
MA,146,dip,dip,wt
control,310,dip,dip,wt
control,383,hap,a,wt
control,373,dip,dip,wt
MA,65,hap,a,wt
MA,61,hap,a,del
MA,152,dip,dip,del
MA,123,dip,dip,wt
control,465,dip,dip,del
control,311,dip,dip,wt
control,363,dip,dip,wt
control,342,dip,dip,del
MA,77,hap,a,del
MA,60,dip,dip,wt
control,402,dip,dip,del
MA,124,dip,dip,wt
MA,54,hap,alpha,del
MA,7,dip,dip,del
control,452,hap,alpha,wt
control,448,hap,alpha,wt
control,330,hap,alpha,wt
control,349,hap,a,del
control,481,hap,alpha,del
MA,42,dip,dip,wt
control,304,dip,dip,wt
MA,202,hap,alpha,wt
MA,69,hap,a,del
MA,144,dip,dip,del
control,324,hap,a,wt
control,410,hap,a,del
control,469,hap,a,del
control,382,hap,a,wt
MA,4,dip,dip,wt
MA,182,hap,alpha,del
MA,3,dip,dip,wt
MA,72,dip,dip,del
control,455,dip,dip,del
MA,112,dip,dip,del
MA,63,dip,dip,del
MA,126,hap,alpha,del
MA,212,hap,alpha,wt
MA,207,hap,alpha,wt
control,446,hap,alpha,wt
control,314,dip,dip,wt
MA,6,hap,alpha,del
control,473,hap,a,del
MA,67,dip,dip,wt
control,443,hap,a,wt
MA,9,hap,a,wt
MA,134,hap,alpha,del
MA,91,dip,dip,wt
MA,78,hap,alpha,del
MA,14,hap,alpha,del
control,355,hap,a,del
MA,120,dip,dip,del
control,392,hap,alpha,wt
control,420,hap,alpha,del
control,393,dip,dip,del
MA,151,dip,dip,del
control,306,dip,dip,wt
MA,71,dip,dip,del
control,336,dip,dip,del
MA,160,dip,dip,del
control,323,hap,a,wt
MA,167,dip,dip,del
MA,178,hap,alpha,wt
MA,125,hap,a,del
MA,208,hap,alpha,wt
control,432,dip,dip,wt
MA,116,dip,dip,wt
control,461,dip,dip,del
MA,66,dip,dip,wt
MA,70,hap,alpha,del
MA,156,dip,dip,wt
MA,75,dip,dip,wt
control,466,dip,dip,del
MA,145,hap,a,wt
MA,27,dip,dip,wt
control,435,dip,dip,wt
control,463,dip,dip,del
MA,18,dip,dip,wt
control,396,dip,dip,del
control,387,hap,alpha,wt
MA,187,dip,dip,wt
MA,140,dip,dip,wt
MA,218,hap,alpha,wt
MA,68,dip,dip,wt
MA,205,hap,alpha,wt
MA,185,hap,a,wt
MA,16,dip,dip,del
MA,49,hap,a,wt
MA,192,dip,dip,del
control,386,hap,alpha,wt
control,436,dip,dip,wt
control,357,hap,alpha,del
control,409,hap,a,del
MA,88,dip,dip,del
control,350,hap,a,del
control,398,dip,dip,del
control,326,hap,alpha,wt
control,470,hap,a,del
control,327,hap,alpha,wt
MA,39,dip,dip,del
MA,169,hap,a,wt
MA,43,dip,dip,wt
MA,183,dip,dip,del
control,401,dip,dip,del
control,460,dip,dip,del
MA,203,hap,alpha,wt
MA,204,hap,alpha,wt
control,339,dip,dip,del
control,399,dip,dip,del
control,450,hap,alpha,wt
MA,217,dip,dip,del
control,328,hap,alpha,wt
MA,186,hap,alpha,wt
MA,107,dip,dip,wt
MA,215,hap,alpha,wt
control,330,hap,alpha,wt
control,437,dip,dip,wt
MA,150,hap,alpha,del
MA,9,hap,a,wt
control,455,dip,dip,del
control,404,dip,dip,del
control,329,hap,alpha,wt
MA,157,hap,a,del
MA,135,dip,dip,del
MA,187,dip,dip,wt
MA,47,dip,dip,del
MA,104,dip,dip,del
MA,24,dip,dip,del
MA,84,dip,dip,wt
MA,208,hap,alpha,wt
MA,120,dip,dip,del
control,412,hap,a,del
control,353,hap,a,del
MA,106,hap,alpha,wt
control,382,hap,a,wt
MA,82,dip,dip,wt
control,476,hap,alpha,del
control,360,hap,alpha,del
control,468,hap,a,del
MA,195,dip,dip,wt
MA,94,hap,alpha,del
control,425,dip,dip,wt
control,410,hap,a,del
control,361,hap,alpha,del
control,358,hap,alpha,del
control,470,hap,a,del
MA,197,hap,a,del
MA,193,hap,a,wt
MA,86,hap,alpha,del
control,387,hap,alpha,wt
MA,107,dip,dip,wt
control,424,dip,dip,wt
MA,201,hap,alpha,wt
control,395,dip,dip,del
MA,192,dip,dip,del
control,324,hap,a,wt
control,441,hap,a,wt
control,306,dip,dip,wt
control,336,dip,dip,del
MA,196,dip,dip,wt
control,343,dip,dip,del
control,443,hap,a,wt
MA,177,hap,a,wt
control,303,dip,dip,wt
MA,137,hap,a,wt
control,345,dip,dip,del
control,331,hap,alpha,wt
control,388,hap,alpha,wt
MA,168,dip,dip,del
control,323,hap,a,wt
MA,133,hap,a,del
MA,206,hap,alpha,wt
control,312,dip,dip,wt
MA,101,hap,a,del
control,478,hap,alpha,del
control,423,dip,dip,wt
control,469,hap,a,del
control,392,hap,alpha,wt
MA,210,hap,alpha,wt
control,434,dip,dip,wt
MA,27,dip,dip,wt
control,350,hap,a,del
control,401,dip,dip,del
control,370,dip,dip,wt
MA,50,hap,alpha,wt
MA,28,dip,dip,wt
MA,33,hap,a,wt
MA,188,dip,dip,wt
control,445,hap,a,wt
MA,60,dip,dip,wt
MA,124,dip,dip,wt
MA,171,dip,dip,wt
control,446,hap,alpha,wt
MA,75,dip,dip,wt
MA,198,hap,alpha,del
control,375,dip,dip,wt
MA,174,hap,alpha,del
control,308,dip,dip,wt
control,440,hap,a,wt
control,420,hap,alpha,del
MA,191,dip,dip,del
control,428,dip,dip,wt
MA,129,hap,a,wt
MA,109,hap,a,del
control,342,dip,dip,del
control,346,dip,dip,del
MA,175,dip,dip,del
MA,144,dip,dip,del
control,318,hap,a,wt
control,319,hap,a,wt
MA,2,hap,alpha,wt
MA,6,hap,alpha,del
MA,184,dip,dip,del
MA,98,hap,alpha,wt
MA,127,dip,dip,del
control,413,hap,a,del
MA,173,hap,a,del
MA,131,dip,dip,wt
MA,35,dip,dip,wt
MA,170,dip,dip,wt
MA,25,hap,a,wt
MA,57,hap,a,wt
control,334,dip,dip,del
MA,152,dip,dip,del
MA,71,dip,dip,del
control,314,dip,dip,wt
MA,41,hap,a,wt
MA,72,dip,dip,del
control,352,hap,a,del
control,378,hap,a,wt
control,367,dip,dip,wt
control,348,hap,a,del
MA,26,hap,alpha,wt
MA,160,dip,dip,del
MA,163,dip,dip,wt
MA,212,hap,alpha,wt
MA,19,dip,dip,wt
MA,97,hap,a,wt
MA,70,hap,alpha,del
control,449,hap,alpha,wt
control,405,dip,dip,del
control,357,hap,alpha,del
MA,62,hap,alpha,del
MA,111,dip,dip,del
control,480,hap,alpha,del
MA,166,hap,alpha,del
MA,156,dip,dip,wt
control,335,dip,dip,del
MA,147,dip,dip,wt
MA,64,dip,dip,del
control,341,dip,dip,del
control,315,dip,dip,wt
control,477,hap,alpha,del
control,385,hap,alpha,wt
control,407,dip,dip,del
MA,132,dip,dip,wt
control,391,hap,alpha,wt
control,456,dip,dip,del
MA,66,dip,dip,wt
MA,68,dip,dip,wt
MA,205,hap,alpha,wt
MA,73,hap,a,wt
MA,167,dip,dip,del
MA,95,dip,dip,del
control,344,dip,dip,del
control,430,dip,dip,wt
MA,219,hap,alpha,del
control,337,dip,dip,del
MA,211,hap,alpha,wt
control,363,dip,dip,wt
MA,39,dip,dip,del
MA,42,dip,dip,wt
MA,51,dip,dip,wt
MA,169,hap,a,wt
MA,207,hap,alpha,wt
MA,79,dip,dip,del
MA,165,hap,a,del
control,307,dip,dip,wt
control,377,dip,dip,wt
MA,200,dip,dip,del
MA,1,hap,a,wt
control,321,hap,a,wt
MA,182,hap,alpha,del
MA,108,dip,dip,wt
control,313,dip,dip,wt
MA,55,dip,dip,del
control,482,hap,alpha,del
control,393,dip,dip,del
MA,17,hap,a,wt
control,438,hap,a,wt
MA,49,hap,a,wt
MA,141,hap,a,del
control,450,hap,alpha,wt
MA,126,hap,alpha,del
MA,140,dip,dip,wt
control,379,hap,a,wt
MA,190,hap,alpha,del
MA,176,dip,dip,del
control,402,dip,dip,del
MA,12,dip,dip,wt
control,317,hap,a,wt
control,418,hap,alpha,del
control,435,dip,dip,wt
MA,7,dip,dip,del
control,467,dip,dip,del
control,427,dip,dip,wt
control,369,dip,dip,wt
control,426,dip,dip,wt
MA,88,dip,dip,del
MA,20,dip,dip,wt
MA,83,dip,dip,wt
MA,30,hap,alpha,del
control,422,hap,alpha,del
MA,37,hap,a,del
